image,thick_auc,thin_auc,thick_Specificity,thick_SP,thick_ACC,thick_Prec,thick_F1,thick_Dice,thick_IoU,thick_GMean,thick_MCC,thin_SE,thin_SP,thin_ACC,thin_Prec,thin_F1,thin_Dice,thin_IoU,thin_GMean,thin_MCC,thick_TP,thick_FP,thick_TN,thick_FN,thin_TP,thin_FP,thin_TN,thin_FN
test_image_1,0.8750563575209912,0.691710533673611,0.7574830494453799,0.9926296655958526,0.9618572541550207,0.9393007279801708,0.8386506107018111,0.8386506156447847,0.7221346366067143,0.8671217596540258,0.8233871268464413,0.4157524613209121,0.9676686060250316,0.9464378462602854,0.33969202482109934,0.3738932406859652,0.3738932456357527,0.2299315494707064,0.63427959505086,0.3481409909245791,9161,592,79730,2933,1478,2873,85988,2077
test_image_2,0.9001683837960205,0.6701003480645042,0.815484937545173,0.9848518300459984,0.9648978531854912,0.877892030847461,0.8455385151469248,0.8455385201405363,0.7324094696026293,0.8961762288279636,0.826482286695565,0.3741152679467912,0.9660854281814752,0.9280752250691516,0.43081699980510224,0.4004690127926464,0.40046901776819654,0.25036652757386896,0.601188247409747,0.3634349508882801,8879,1235,80293,2009,2220,2933,83549,3714
test_image_3,0.9237637503229967,0.7377851457904827,0.8631256384058591,0.9844018622393323,0.9677003981993413,0.898348053646632,0.8803846874476973,0.8803846924460507,0.7863278453824005,0.9217713847767462,0.8619530362233736,0.535303537632064,0.9402667539480122,0.9101670706370206,0.41845908728756287,0.469724062524621,0.46972406744987877,0.30695383587919944,0.7094562140866683,0.4252703474755352,10985,1243,78446,1742,3677,5110,80437,3192
test_image_4,0.871476830764749,0.7535367799219274,0.7554129911783243,0.9875406703505414,0.9499545533239969,0.921346483005199,0.8301692749661034,0.8301692799174419,0.7096490677376422,0.8637135240921899,0.8065915666441904,0.5758319276175804,0.9312416322252831,0.906163434902949,0.38867612048401956,0.4640959042224193,0.46409590903444314,0.3021646415061542,0.7322831857703868,0.42442782247824357,11304,965,76487,3660,3755,5906,79989,2766
test_image_5,0.9134301085155823,0.77463906752693,0.8455414012730933,0.9813188157571592,0.9656336565095909,0.855315520181111,0.8504003718246113,0.8504003768248467,0.7397361304591168,0.9109037745947487,0.8310056489261861,0.5961538461525284,0.9531242888999052,0.9356496710525304,0.39562857561919373,0.4756194291159121,0.475619433911934,0.31200832947673296,0.7537961997045833,0.4534164691065931,9027,1527,80213,1649,2697,4120,83772,1827
test_image_6,0.9132989707326323,0.6017473420996753,0.8400124990228576,0.986585442441627,0.9662828947367376,0.9096523136782761,0.873446506257313,0.8734465112497468,0.7753262672140923,0.9103538339596109,0.8549339418803492,0.27364755425957754,0.9298471299394353,0.8421701869805183,0.3756113828363988,0.316622933653756,0.31662293853058626,0.18808794878920784,0.5044307612975383,0.23357214729428166,10753,1068,78547,2048,3379,5617,74451,8969
test_image_7,0.9122238656440987,0.6183186415253015,0.8376809350562445,0.9867667962311802,0.9659258137118069,0.9114030655205394,0.8729883384922265,0.8729883434836958,0.774604537970958,0.9091731037318415,0.8543645484458455,0.302152717443477,0.9344845656067204,0.86360586911348,0.3679755466725041,0.3318314289201384,0.3318314338720743,0.198919605973817,0.5313727984259805,0.2582440682158256,10822,1052,78445,2097,3130,5376,76681,7229
test_image_8,0.8726816657453489,0.6574470454724972,0.7640025173059478,0.9813608141840899,0.9477255020774598,0.8824099499266012,0.818948389133856,0.8189483941083016,0.6934061052226353,0.8658880599835403,0.7913813005911645,0.392928842292669,0.9219652486517769,0.870639283240903,0.35107125062247024,0.37082258330026285,0.37082258828463194,0.22761338674232612,0.6018859840425057,0.2995744914405322,10926,1456,76659,3375,3523,6512,76938,5443
test_image_9,0.897807444943989,0.6433085472909266,0.8113619262597356,0.9842529636275075,0.959390148891863,0.8964169922679387,0.8517713919863338,0.8517713969742676,0.7418134287281632,0.8936360447607672,0.829692808032383,0.3490805946788448,0.9375364999025529,0.8724355090026757,0.4100884752379523,0.37713319099532977,0.3771331959632392,0.23238702956098944,0.5720802381826399,0.30781964937854933,10783,1246,77880,2507,3569,5134,77058,6655
